P001,Starlite Backpack,49.99,In Stock,4.6,Stylish durable weather-resistant,Perfect for weekend getaways.
P002,Aurora Gaming Mouse,79.5,Out of Stock,1.8,RGB programmable buttons,Underwhelming :(
P003,Cosmic Yoga Mat,24.25,In Stock,4.2,Non-slip eco-friendly,No weird smell great cushion!
P004,Lunar Coffee Maker,129.99,Backordered,4.7,Programmable matte finish,Brewed bliss in every cup!
P005,Orchid Face Serum,38,In Stock,4.4,Botanical blend skin brightening,Miracle bottle truly glowing!
P006,Vortex Blender,89.95,In Stock,0.5,Smoothies in seconds,Loud but blends everything!
P007,Pixel Noise-Canceling Headphones,199,Out of Stock,4.9,Immersive sound plush fit,Feels like a private concert!
P008,GlowHydro Flask,34.2,In Stock,0,Glow-in-the-dark insulation,Not very good
P009,Quantum Electric Scooter,349.99,Pre-order,4.6,Foldable long battery life,Futuristic ride—head turner!
P010,EcoSmart LED Bulb,6.99,In Stock,5,Energy-saving 10-year life,Swapped all bulbs—perfect light!
P011,ZenTune White Noise Machine,32.5,In Stock,4.4,12 sounds compact,Tranquility in a box—sleep goals!
P012,Titanium Grill Set,54,In Stock,4.6,Rust-resistant ergonomic,BBQ beast mode activated!
P013,Retro Vinyl Player,84.75,Out of Stock,4.7,Bluetooth vintage charm,Vinyl vibes all the way!
P014,Velvet Throw Blanket,29.5,In Stock,4.6,Ultra-soft washable,Snuggle heaven. Best purchase!
P015,Bamboo Chef Board,19.99,In Stock,3.5,Sustainable scratch-proof,Elegant and solid—thumbs up!
P016,CrystalGlow Lamp,44,In Stock,4.4,Ambient touch control,Soft glow sets the mood perfectly!
P017,SmartFit Fitness Tracker,65.99,In Stock,3.2,Heart rate sleep monitor,Motivates movement—awesome!
P018,Polar Smart Thermometer,22.99,Backordered,4.3,Instant app-sync,Slick and surprisingly accurate!
P019,TrailMaster Hiking Boots,109.99,In Stock,4.5,Waterproof ankle support,Comfy over long hikes—love them!
P020,Magneto Resistance Band,19.99,In Stock,4.3,High-tension reinforced,Great for home workouts!
P021,Stellar Phone Grip,9.95,In Stock,2.2,Rotating holographic,Cute and functional—a must!
P022,LuxeGlow Makeup Mirror,59.99,Out of Stock,4.6,LED ring magnification,My vanity’s new star!
P023,FrostX Mini Fridge,139,Backordered,4.7,Compact silent cooling,Dorm room MVP!
P024,SkyNova Drone,269.95,Pre-order,2.5,HD camera auto-hover,My dog’s new aerial cameraman!
P025,PureMist Humidifier,42.8,In Stock,3.9,Whisper-quiet aroma tray,Air feels crisp and fresh!
P026,Urban Nomad Duffel Bag,64.75,In Stock,4.3,Water-resistant shoe pocket,Fits everything still chic!
P027,Moonbeam Alarm Clock,18.9,In Stock,4.2,Sunrise simulator soft chimes,Peaceful way to wake up!
P028,ZenoClip Desk Organizer,11.99,In Stock,4.1,Modular magnetic grip,Desk finally looks sane!
P029,FizzPop Soda Maker,89,Backordered,4.6,Custom flavors sleek look,Sparkling happiness daily!
P030,ChromaSketch Color Pencils,21.5,In Stock,4.7,48 shades smooth tips,Kids and pros love it alike!
